gene_id,chrom,start,end
ENSG00000105552,19,48810983,48811012
ENSG00000105552,19,48795064,48795464
ENSG00000105552,19,48806444,48806717
ENSG00000105552,19,48810983,48811027
ENSG00000105552,19,48795062,48795464
ENSG00000105552,19,48810983,48811033
ENSG00000105552,19,48810983,48811039
ENSG00000105552,19,48796613,48796718
ENSG00000105552,19,48795066,48795464
ENSG00000105552,19,48795099,48795464
ENSG00000105552,19,48796427,48796445
ENSG00000105552,19,48796427,48796448
ENSG00000105552,19,48810808,48810921
ENSG00000105552,19,48800255,48800297
ENSG00000105552,19,48796258,48796502
ENSG00000105552,19,48800065,48800100
ENSG00000105552,19,48810983,48811023
ENSG00000105552,19,48810983,48811029
ENSG00000105552,19,48795864,48796502
ENSG00000105552,19,48806999,48807792
ENSG00000105552,19,48795061,48795464
ENSG00000105552,19,48807986,48808099
ENSG00000105552,19,48807320,48807399
ENSG00000105552,19,48806516,48806717
ENSG00000105552,19,48797190,48797333
ENSG00000105552,19,48795063,48795464
ENSG00000105552,19,48795109,48795464
ENSG00000105552,19,48810983,48811044
ENSG00000105552,19,48806432,48806717
ENSG00000105552,19,48810983,48811047
ENSG00000105552,19,48800007,48800100
ENSG00000105552,19,48807755,48808236
ENSG00000105552,19,48797190,48797275
ENSG00000105552,19,48810983,48811056
ENSG00000105552,19,48796577,48796718
ENSG00000105552,19,48796427,48796502
ENSG00000105552,19,48797190,48797543
ENSG00000105552,19,48807344,48807399
ENSG00000105552,19,48807968,48808099
ENSG00000105552,19,48810343,48810728
ENSG00000105552,19,48810343,48810841
ENSG00000105552,19,48795065,48795464
ENSG00000105552,19,48796246,48796502
ENSG00000105552,19,48795067,48795464
ENSG00000105552,19,48800186,48800297
ENSG00000105552,19,48806999,48807074
ENSG00000105552,19,48807968,48808419
ENSG00000105552,19,48810983,48811037
ENSG00000105552,19,48799674,48799838
ENSG00000105552,19,48798809,48799838
ENSG00000105552,19,48796936,48797022
ENSG00000105552,19,48799980,48800100
ENSG00000105552,19,48799678,48799838
ENSG00000105552,19,48796146,48796329
ENSG00000105552,19,48807372,48807399
ENSG00000105552,19,48795060,48795464
ENSG00000105552,19,48807788,48808311
ENSG00000105552,19,48809133,48809311
ENSG00000105552,19,48807012,48807074
ENSG00000105552,19,48799980,48800112
ENSG00000105552,19,48810808,48810916
ENSG00000179218,19,12940242,12940452
ENSG00000179218,19,12943536,12943629
ENSG00000179218,19,12943712,12943962
ENSG00000179218,19,12943802,12944490
ENSG00000179218,19,12940242,12940299
ENSG00000179218,19,12940052,12940084
ENSG00000179218,19,12940052,12940370
ENSG00000179218,19,12940764,12940887
ENSG00000179218,19,12944323,12944487
ENSG00000179218,19,12940052,12940147
ENSG00000179218,19,12943212,12943629
ENSG00000179218,19,12943712,12944489
ENSG00000179218,19,12943712,12944068
ENSG00000179218,19,12943584,12943629
ENSG00000179218,19,12943542,12943629
ENSG00000179218,19,12940540,12940654
ENSG00000179218,19,12943941,12944403
ENSG00000179218,19,12940755,12940887
ENSG00000179218,19,12944211,12944489
ENSG00000179218,19,12938644,12938770
ENSG00000179218,19,12940371,12940452
ENSG00000179218,19,12944117,12944223
