Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSG00000004866,7,116593292,116870157,1
ENSG00000004939,17,42325753,42345509,-1
ENSG00000005249,7,106685094,106802256,1
ENSG00000006042,17,31254928,31272124,1
ENSG00000007944,6,16129356,16148479,1
ENSG00000008130,1,1682671,1711896,-1
ENSG00000010278,12,6308881,6347425,1
ENSG00000011304,19,797075,812327,1
ENSG00000013306,17,42396993,42402238,-1
ENSG00000018869,19,56887413,56904914,-1
ENSG00000019144,11,118477155,118528741,1
ENSG00000023516,13,42846289,42897396,1
ENSG00000026297,6,167342992,167370679,-1
ENSG00000031698,1,109756540,109780791,1
ENSG00000034510,2,85132749,85133795,1
ENSG00000035403,10,75757872,75879918,1
ENSG00000048544,6,42174539,42185603,-1
ENSG00000049759,18,55711599,56068772,1
ENSG00000050426,12,51441745,51454207,1
ENSG00000050628,1,71318036,71513491,-1
ENSG00000051382,3,138372860,138553780,-1
ENSG00000058063,3,182511288,182639423,1
ENSG00000059804,12,8071826,8088871,-1
ENSG00000060237,12,861759,1020618,1
ENSG00000065268,19,983174,994569,1
ENSG00000065518,3,120315156,120321347,1
ENSG00000065615,6,84569362,84677143,1
ENSG00000065802,2,239335383,239360891,1
ENSG00000066777,8,68085747,68255912,-1
ENSG00000067082,10,3818188,3827473,-1
ENSG00000067225,15,72491370,72524164,-1
ENSG00000068078,4,1795034,1810599,1
ENSG00000068796,5,61601989,61833076,1
ENSG00000069849,3,141594966,141645356,1
ENSG00000070371,22,19166986,19279239,-1
ENSG00000070413,22,19023795,19109967,-1
ENSG00000071575,2,12857015,12882860,1
ENSG00000071626,19,1407568,1435719,1
ENSG00000071655,19,1576639,1592882,-1
ENSG00000071967,2,172378757,172414643,1
ENSG00000072274,3,195754054,195809060,-1
ENSG00000073060,12,125261402,125367214,-1
ENSG00000073849,3,186648274,186796341,1
ENSG00000073921,11,85668727,85780924,-1
ENSG00000074201,11,77225981,77348850,-1
ENSG00000074266,11,85955586,85989855,1
ENSG00000075618,7,5632439,5646286,1
ENSG00000076662,19,10444452,10450499,-1
ENSG00000076685,10,104845940,104953056,-1
ENSG00000078269,6,158402888,158520208,1
ENSG00000081026,1,113933371,114228545,1
ENSG00000081041,4,74962752,74965010,-1
ENSG00000081237,1,198607801,198726545,1
ENSG00000084234,11,129939732,130014699,1
ENSG00000084676,2,24714783,24993571,1
ENSG00000085999,1,46713360,46744145,1
ENSG00000087086,19,49468558,49470135,1
ENSG00000087095,17,26368763,26523407,1
ENSG00000088448,13,111530887,111567416,-1
ENSG00000090238,16,30103635,30108236,-1
ENSG00000090932,19,39989535,39999121,1
ENSG00000099219,9,5765076,5833117,-1
ENSG00000099399,X,30233677,30238206,1
ENSG00000099875,19,2037470,2051243,-1
ENSG00000100097,22,38071615,38075813,1
ENSG00000100116,22,38203912,38213183,1
ENSG00000100321,22,39745930,39781593,1
ENSG00000100393,22,41487790,41576081,1
ENSG00000100664,14,103799881,103811362,1
ENSG00000100906,14,35870717,35873955,-1
ENSG00000101040,20,45837859,45985567,-1
ENSG00000101200,20,3063202,3065370,-1
ENSG00000101236,20,3907956,3996229,-1
ENSG00000101986,X,152990323,153010216,1
ENSG00000101997,X,49091927,49106987,1
ENSG00000102007,X,49028273,49031588,1
ENSG00000102145,X,48644962,48652716,1
ENSG00000102409,X,102470020,102472174,1
ENSG00000103257,16,87863629,87903094,-1
ENSG00000103381,16,12756919,12897874,-1
ENSG00000104112,15,51973550,52013223,1
ENSG00000104325,8,91013633,91064320,1
ENSG00000104763,8,17913934,17942494,-1
ENSG00000104783,19,44270685,44285409,-1
ENSG00000104833,19,6494330,6502859,-1
ENSG00000104835,19,39405906,39440495,-1
ENSG00000104907,19,13215716,13228381,-1
ENSG00000104946,19,50380682,50392005,1
ENSG00000105327,19,47724081,47736023,-1
ENSG00000105355,19,4838353,4867780,-1
ENSG00000105376,19,10400657,10407454,1
ENSG00000105472,19,51226586,51228974,1
ENSG00000105642,19,18062102,18110889,1
ENSG00000105655,19,18545198,18549111,-1
ENSG00000105810,7,92234235,92465908,-1
ENSG00000105889,7,22459063,22672544,-1
ENSG00000106123,7,142552792,142568847,1
ENSG00000106211,7,75931861,75933612,1
ENSG00000106392,7,7196565,7288282,1
ENSG00000106603,7,43648055,43769316,-1
ENSG00000106605,7,43798279,43846939,1
ENSG00000106799,9,101866320,101916474,1
ENSG00000106992,9,130628759,130640022,-1
ENSG00000107438,10,96997329,97050781,-1
ENSG00000107789,10,89264632,89313217,1
ENSG00000108106,19,55912652,55919145,-1
ENSG00000108604,17,61909444,61920425,-1
ENSG00000108622,17,62079954,62097994,-1
ENSG00000108669,17,76670130,76778379,-1
ENSG00000108819,17,48211104,48227991,-1
ENSG00000108829,17,48452420,48474914,-1
ENSG00000109255,4,56461396,56502865,-1
ENSG00000109861,11,88026760,88070955,-1
ENSG00000110046,11,64662007,64684722,-1
ENSG00000110092,11,69455855,69469242,1
ENSG00000110492,11,46402306,46405375,1
ENSG00000110848,12,9905082,9913497,-1
ENSG00000110975,12,33527173,33592754,-1
ENSG00000111261,12,12482198,12503475,-1
ENSG00000111642,12,6679249,6716642,-1
ENSG00000111906,6,125541108,125623282,-1
ENSG00000111907,6,125440195,125585553,1
ENSG00000112077,6,49572871,49604552,-1
ENSG00000112149,6,14117872,14137149,1
ENSG00000112343,6,25963030,25987384,1
ENSG00000112759,6,44187242,44201888,1
ENSG00000112972,5,43289497,43313614,-1
ENSG00000113552,5,141371314,141392606,-1
ENSG00000113739,5,172741716,172756506,-1
ENSG00000113742,5,173315283,173388979,1
ENSG00000113758,5,176883609,176901402,-1
ENSG00000114166,3,20081515,20195896,1
ENSG00000114268,3,48555117,48599448,-1
ENSG00000115310,2,55199325,55339757,-1
ENSG00000115525,2,86066267,86116137,-1
ENSG00000115738,2,8818975,8824583,1
ENSG00000115756,2,10443015,10567743,1
ENSG00000115875,2,38970741,38978636,-1
ENSG00000115904,2,39208537,39351486,-1
ENSG00000115970,2,43393800,43823185,-1
ENSG00000115977,2,69688532,69901481,-1
ENSG00000116199,1,178994939,179045697,1
ENSG00000116691,1,12079523,12092102,1
ENSG00000116717,1,68150744,68154021,1
ENSG00000116815,1,117057157,117113661,-1
ENSG00000116830,1,117602925,117650075,1
ENSG00000117335,1,207925402,207968858,1
ENSG00000117691,1,212606229,212619714,1
ENSG00000118971,12,4382938,4414516,1
ENSG00000119403,9,123617977,123639606,-1
ENSG00000119638,14,75548822,75594047,-1
ENSG00000119714,14,91698876,91720269,-1
ENSG00000119865,2,68511303,68547183,-1
ENSG00000120129,5,172195093,172198198,-1
ENSG00000120306,5,139554227,139661637,1
