gene_id,chrom,start,end
ENSG00000101986,X,153743220,153743346
ENSG00000101986,X,153736611,153736911
ENSG00000101986,X,153738069,153738578
ENSG00000101986,X,153725725,153725952
ENSG00000101986,X,153724413,153724686
ENSG00000101986,X,153724855,153726166
ENSG00000101986,X,153729231,153729412
ENSG00000101986,X,153729231,153729897
ENSG00000101986,X,153736641,153736911
ENSG00000101986,X,153743488,153744743
ENSG00000101986,X,153743488,153744755
ENSG00000101986,X,153740573,153740604
ENSG00000101986,X,153742986,153743071
ENSG00000101986,X,153724494,153726166
ENSG00000101986,X,153725725,153725957
ENSG00000101986,X,153736111,153736254
ENSG00000101986,X,153735343,153735427
ENSG00000101986,X,153740091,153740237
ENSG00000101986,X,153725816,153726166
ENSG00000101986,X,153740573,153740719
ENSG00000101986,X,153724850,153726166
ENSG00000101986,X,153736344,153736513
ENSG00000101986,X,153724486,153724565
ENSG00000101986,X,153724333,153724664
ENSG00000101986,X,153736117,153736254
ENSG00000101986,X,153735625,153735959
ENSG00000101986,X,153728726,153728819
ENSG00000101986,X,153737156,153737251
ENSG00000143382,1,150560059,150560930
ENSG00000143382,1,150549380,150549499
ENSG00000143382,1,150560201,150562115
ENSG00000143382,1,150556161,150556366
ENSG00000143382,1,150556938,150556976
ENSG00000143382,1,150556607,150556684
ENSG00000143382,1,150557457,150557623
ENSG00000143382,1,150552087,150552308
ENSG00000143382,1,150549408,150549499
ENSG00000143382,1,150556147,150556217
ENSG00000143382,1,150560059,150560667
ENSG00000143382,1,150558253,150558649
ENSG00000143382,1,150550614,150551906
ENSG00000143382,1,150549368,150549499
ENSG00000143382,1,150557692,150557724
ENSG00000143382,1,150558472,150558748
ENSG00000143382,1,150560059,150560932
ENSG00000143382,1,150550141,150550276
ENSG00000143382,1,150558961,150559165
ENSG00000143382,1,150552897,150553253
ENSG00000143382,1,150550141,150550291
ENSG00000143382,1,150549416,150549499
ENSG00000143382,1,150557149,150557335
ENSG00000143382,1,150549407,150549499
ENSG00000143382,1,150555428,150555565
ENSG00000143382,1,150555953,150556052
ENSG00000143382,1,150557261,150557335
ENSG00000143382,1,150557944,150558149
ENSG00000143382,1,150554037,150554122
ENSG00000143382,1,150549751,150549895
ENSG00000143382,1,150556620,150556793
ENSG00000143382,1,150558472,150558649
ENSG00000143382,1,150549821,150549895
ENSG00000143382,1,150552542,150552600
ENSG00000143382,1,150553425,150554122
ENSG00000143382,1,150549420,150549499
ENSG00000143382,1,150560059,150560937
ENSG00000143382,1,150559760,150559905
ENSG00000143382,1,150560894,150561222
ENSG00000143382,1,150551928,150552014
ENSG00000143382,1,150554534,150554732
ENSG00000143382,1,150557493,150557623
ENSG00000143382,1,150549821,150550276
ENSG00000143382,1,150554382,150554467
ENSG00000143382,1,150556938,150557050
ENSG00000143382,1,150554565,150554634
ENSG00000143382,1,150554364,150554467
ENSG00000143382,1,150552204,150552308
ENSG00000143382,1,150559286,150559466
ENSG00000143382,1,150549838,150549895
ENSG00000143382,1,150560059,150560933
ENSG00000157985,2,235807238,235807331
ENSG00000157985,2,236072294,236072556
ENSG00000157985,2,236014804,236014879
ENSG00000157985,2,236123918,236124199
ENSG00000157985,2,235883344,235883449
ENSG00000157985,2,235776956,235777041
ENSG00000157985,2,236045936,236046031
ENSG00000157985,2,235506952,235507566
ENSG00000157985,2,235773854,235773982
ENSG00000157985,2,235882361,235882493
ENSG00000157985,2,236123918,236126554
ENSG00000157985,2,236049058,236049831
ENSG00000157985,2,235505538,235505634
ENSG00000157985,2,235797758,235797886
ENSG00000157985,2,235718380,235718392
ENSG00000157985,2,235744697,235744839
ENSG00000157985,2,235505750,235505800
ENSG00000157985,2,236120191,236120447
ENSG00000157985,2,235524323,235524539
ENSG00000157985,2,236123918,236124122
ENSG00000157985,2,236120191,236120279
ENSG00000157985,2,235744697,235744811
ENSG00000157985,2,235494106,235494849
ENSG00000157985,2,236037249,236037311
ENSG00000157985,2,235494042,235494849
ENSG00000157985,2,235799366,235799522
ENSG00000157985,2,236049058,236049281
ENSG00000157985,2,235494088,235494849
ENSG00000157985,2,235775656,235775794
ENSG00000157985,2,235973487,235973662
ENSG00000157985,2,235852685,235853202
ENSG00000157985,2,235669603,235671057
ENSG00000157985,2,236123918,236125482
ENSG00000157985,2,235506952,235507571
ENSG00000157985,2,235774302,235774477
ENSG00000157985,2,235908737,235908906
ENSG00000157985,2,236123918,236125256
ENSG00000157985,2,235717556,235717644
ENSG00000157985,2,235750353,235750488
ENSG00000157985,2,236040750,236040841
ENSG00000157985,2,235783313,235783387
ENSG00000157985,2,235740962,235741048
ENSG00000157985,2,236040611,236040841
ENSG00000157985,2,235930764,235930923
ENSG00000157985,2,236036560,236036715
ENSG00000157985,2,235968461,235968623
ENSG00000157985,2,236000228,236000454
ENSG00000157985,2,235494686,235494849
ENSG00000157985,2,235709178,235709237
ENSG00000157985,2,236123918,236131793
ENSG00000106992,9,127868046,127868076
ENSG00000106992,9,127867839,127868076
ENSG00000106992,9,127867007,127868076
ENSG00000106992,9,127867863,127868076
ENSG00000106992,9,127868462,127868512
ENSG00000106992,9,127877622,127877674
ENSG00000106992,9,127866485,127868076
ENSG00000106992,9,127873025,127873054
ENSG00000106992,9,127877622,127877671
ENSG00000106992,9,127871822,127871936
ENSG00000106992,9,127871822,127871939
ENSG00000106992,9,127874610,127874701
ENSG00000106992,9,127867839,127868100
ENSG00000106992,9,127878386,127878479
ENSG00000106992,9,127874610,127874649
ENSG00000106992,9,127867841,127868076
ENSG00000106992,9,127877541,127877673
ENSG00000106992,9,127874848,127875472
ENSG00000106992,9,127873393,127873544
ENSG00000106992,9,127867889,127868076
ENSG00000106992,9,127869414,127869495
ENSG00000106992,9,127875989,127876026
ENSG00000106992,9,127867037,127868076
ENSG00000106992,9,127871822,127871932
ENSG00000106992,9,127877622,127877673
ENSG00000106992,9,127872685,127872853
ENSG00000106992,9,127878386,127878423
ENSG00000106992,9,127867849,127868076
ENSG00000106992,9,127867838,127868076
ENSG00000106992,9,127873029,127873056
ENSG00000106992,9,127868329,127868512
ENSG00000106992,9,127867028,127868076
ENSG00000106992,9,127867851,127868076
ENSG00000106992,9,127867840,127868076
ENSG00000106992,9,127877771,127877954
ENSG00000106992,9,127868320,127868512
ENSG00000106992,9,127873029,127873059
ENSG00000106992,9,127872689,127872713
ENSG00000106992,9,127866491,127868076
ENSG00000106992,9,127872689,127872838
ENSG00000106992,9,127877622,127877712
ENSG00000106992,9,127867928,127868076
ENSG00000106992,9,127872689,127872853
ENSG00000106992,9,127872711,127872853
ENSG00000106992,9,127868320,127868475
ENSG00000106992,9,127877622,127877724
ENSG00000106992,9,127867998,127868076
ENSG00000106992,9,127872825,127872853
ENSG00000106992,9,127877622,127877675
ENSG00000106992,9,127877032,127877193
ENSG00000106992,9,127878464,127878558
ENSG00000106992,9,127873025,127873061
ENSG00000106992,9,127873025,127873180
ENSG00000106992,9,127877032,127877559
ENSG00000106992,9,127874610,127874647
ENSG00000106992,9,127875850,127876009
ENSG00000106992,9,127874876,127875007
ENSG00000106992,9,127868000,127868076
ENSG00000023516,13,42308453,42308609
ENSG00000023516,13,42299362,42303863
ENSG00000023516,13,42319087,42319303
ENSG00000023516,13,42271512,42271764
ENSG00000023516,13,42271490,42271764
ENSG00000023516,13,42313046,42313130
ENSG00000023516,13,42319087,42323259
ENSG00000023516,13,42317527,42317688
ENSG00000023516,13,42271474,42271764
ENSG00000023516,13,42271869,42272083
ENSG00000023516,13,42319087,42323283
ENSG00000023516,13,42319087,42319689
ENSG00000023516,13,42286299,42286399
ENSG00000023516,13,42295694,42295742
ENSG00000023516,13,42319087,42323261
ENSG00000023516,13,42285985,42286035
ENSG00000023516,13,42292384,42292501
ENSG00000023516,13,42298532,42298797
ENSG00000023516,13,42272151,42272228
ENSG00000023516,13,42272096,42272228
ENSG00000023516,13,42319087,42323267
ENSG00000023516,13,42271515,42271764
ENSG00000023516,13,42297047,42297182
ENSG00000023516,13,42313893,42313940
ENSG00000187134,10,4966926,4968386
ENSG00000187134,10,4968308,4968386
ENSG00000187134,10,4963392,4963528
ENSG00000187134,10,4963414,4963528
ENSG00000187134,10,4968821,4968944
