chr	start	end	Element name	Gene	class	Cell type	Fraction change in gene expr	Adjusted p-value	Significant	RNA readout method	Perturbation method	nKO	nCtrl	semKO	semCtrl	Power to detect 25% effects	Gene TSS	Normalized HiC Contacts	DHS (RPM)	H3K27ac (RPM)	Activity	ABC Score	Reference
chr8	128189625	128192185	intergenic|chr8:128190625-128191185	MYC	intergenic	K562	-0.00132609	0.792351739849	0	Proliferation Screen	KRAB-dCas9	32	3919	0.0198649018709	0.00157100758078	1	128748314	8.48063986256987	0.692727	0.102361	0.266285	0.000176773186093	Fulco2016
chr8	128208622	128211122	promoter|chr8:128209622-128210122	MYC	promoter	K562	-0.00862979	0.955813971987	0	Proliferation Screen	KRAB-dCas9	43	3919	0.0171751229537	0.00157100758078	1	128748314	0.436815159167193	0.073571	0	0	0	Fulco2016
chr8	128230263	128232763	promoter|chr8:128231263-128231763	MYC	promoter	K562	-0.00589094	0.861630692157	0	Proliferation Screen	KRAB-dCas9	38	3919	0.0218189188063	0.00157100758078	1	128748314	2.8870047725852	0.091094	0	0	0	Fulco2016
chr8	128578205	128580765	intergenic|chr8:128579205-128579765	MYC	intergenic	K562	-0.01712446	0.84128601975	0	Proliferation Screen	KRAB-dCas9	36	3919	0.0208762864436	0.00157100758078	1	128748314	5.95780639457956	1.259657	3.685002	2.155386	0.001005200068337	Fulco2016
chr8	128627285	128629785	intergenic|chr8:128628285-128628785	MYC	intergenic	K562	0.01411366	0.293840959412	0	Proliferation Screen	KRAB-dCas9	48	3919	0.0184268004232	0.00157100758078	1	128748314	3.96293772008596	0.463822	0.307083	0.3774	0.000117073933066	Fulco2016
chr8	128629585	128632085	intergenic|chr8:128631185-128631725-intergenic|chr8:128630585-128631085	MYC	intergenic	K562	0.02650585	0.194119199338	0	Proliferation Screen	KRAB-dCas9	28	3919	0.0170644427108	0.00157100758078	1	128748314	7.81647281869372	5.609405	2.866112	3.949846	0.00241675180084	Fulco2016
chr8	128630185	128632725	intergenic|chr8:128631185-128631725-intergenic|chr8:128630585-128631085	MYC	intergenic	K562	0.00811119	0.455832051619	0	Proliferation Screen	KRAB-dCas9	49	3919	0.0164072544048	0.00157100758078	1	128748314	7.81647281869372	5.609405	2.866112	3.949846	0.00241675180084	Fulco2016
chr8	128736885	128739385	genic|chr8:128737885-128738385	MYC	genic	K562	-0.02892406	0.45143915655	0	Proliferation Screen	KRAB-dCas9	46	3919	0.0110433986343	0.00157100758078	1	128748314	52.3107404201913	1.37626	1.023612	1.186909	0.004860146447447	Fulco2016
chr8	128739945	128742485	genic|chr8:128740945-128741485	MYC	genic	K562	-0.00657407	0.862189595835	0	Proliferation Screen	KRAB-dCas9	46	3919	0.0109968805355	0.00157100758078	1	128748314	100	2.288137	0.102361	0.483956	0.003788322506143	Fulco2016
chr8	128757345	128759905	intergenic|chr8:128758345-128758905	MYC	intergenic	K562	0.01152757	0.362358864619	0	Proliferation Screen	KRAB-dCas9	47	3919	0.0146925512793	0.00157100758078	1	128748314	49.1340161132466	0.877985	0.307083	0.519241	0.001997065490807	Fulco2016
chr8	128770725	128773225	intergenic|chr8:128772725-128773485-intergenic|chr8:128771725-128772225	MYC	intergenic	K562	0.00812488	0.488892309586	0	Proliferation Screen	KRAB-dCas9	45	3919	0.0111107939889	0.00157100758078	1	128748314	23.0145981294646	8.489623	2.251945	4.36318	0.007860453290124	Fulco2016
chr8	128771725	128774485	intergenic|chr8:128772725-128773485-intergenic|chr8:128771725-128772225	MYC	intergenic	K562	0.01595939	0.171980596044	0	Proliferation Screen	KRAB-dCas9	63	3919	0.0105138541277	0.00157100758078	1	128748314	23.0145981294646	8.489623	2.251945	4.36318	0.007860453290124	Fulco2016
chr8	128787805	128790305	intergenic|chr8:128788805-128789305	MYC	intergenic	K562	0.00645503	0.592892548946	0	Proliferation Screen	KRAB-dCas9	36	3919	0.0153965926	0.00157100758078	1	128748314	13.3690229458782	0.873965	0.92125	0.897296	0.000939023510709	Fulco2016
chr8	128805528	128808028	promoter|chr8:128807125-128807865-promoter|chr8:128806528-128807028-promoter|chr8:128807925-128808425	MYC	promoter	K562	0.00545288	0.361918562848	0	Proliferation Screen	KRAB-dCas9	94	3919	0.00952724111092	0.00157100758078	1	128748314	16.064091140174	2.631421	9.417227	4.951972	0.006226950385658	Fulco2016
chr8	128806125	128808865	promoter|chr8:128807125-128807865-promoter|chr8:128806528-128807028-promoter|chr8:128807925-128808425	MYC	promoter	K562	0.03726628	0.000729814655272	1	Proliferation Screen	KRAB-dCas9	69	3919	0.00925274237574	0.00157100758078	1	128748314	16.064091140174	2.631421	9.417227	4.951972	0.006226950385658	Fulco2016
chr8	128806925	128809425	promoter|chr8:128807125-128807865-promoter|chr8:128806528-128807028-promoter|chr8:128807925-128808425	MYC	promoter	K562	0.03834059	0.00444650381099	1	Proliferation Screen	KRAB-dCas9	50	3919	0.0112164231893	0.00157100758078	1	128748314	16.064091140174	2.631421	9.417227	4.951972	0.006226950385658	Fulco2016
chr8	128811885	128814385	genic|chr8:128812885-128813385	MYC	genic	K562	0.02068095	0.152839599573	0	Proliferation Screen	KRAB-dCas9	48	3919	0.0182436786472	0.00157100758078	1	128748314	17.9449587057058	10.932196	1.74014	4.299263	0.006039173991357	Fulco2016
chr8	128817965	128820545	genic|chr8:128818965-128819545	MYC	genic	K562	0.00475771	0.618982621458	0	Proliferation Screen	KRAB-dCas9	40	3919	0.0163977855849	0.00157100758078	1	128748314	22.058074521159	1.068384	0.409445	0.6614	0.0011420177545	Fulco2016
chr8	128826425	128828925	genic|chr8:128827425-128827925	MYC	genic	K562	0.01891173	0.225480005675	0	Proliferation Screen	KRAB-dCas9	39	3919	0.0105380086015	0.00157100758078	1	128748314	9.16305917162947	0.394347	0.511806	0.449256	0.000322237027468	Fulco2016
chr8	128831405	128833905	genic|chr8:128832405-128832905	MYC	genic	K562	-0.00299549	0.787339520015	0	Proliferation Screen	KRAB-dCas9	60	3919	0.0100172905822	0.00157100758078	1	128748314	14.1859372438436	0.60213	0.511806	0.555136	0.000616450900953	Fulco2016
chr8	128833725	128836225	genic|chr8:128834725-128835225	MYC	genic	K562	0.00748409	0.530917035744	0	Proliferation Screen	KRAB-dCas9	40	3919	0.0149269207573	0.00157100758078	1	128748314	14.1859372438436	0.661352	0.204722	0.367956	0.000408596826203	Fulco2016
