chromosome	enhancer_wide_start	enhancer_wide_end	enhancer_start	enhancer_end	sequence_start	sequence_end	target_start	target_end	main_tss_start	main_tss_end	main_tss_bin	validated	H3K27ac/abs(distance)	relative_tss_distance	relative_main_tss_distance	is_enhancer	dataset_name	cell_type_target	gene	Gene	Element name	ziga_key	fulco_key	fix_enhancer_wide_start	fix_enhancer_wide_end	actual_tss_distance
chr10	30348153	30350153	30418729	30419102	30152545	30545761	30291809	30406497	30349153	30349281	448	False	0.1672092630862191	69761.66666666791	69761.66666666791	True	gasperini2019	K562	MTPAP	MTPAP		gasperini2019_MTPAP_30418729-30419102	not_fulco	30417915	30419915	69698
chr10	30434012	30436012	30418729	30419102	30238404	30631620	30377668	30492356	30434116	30434244	441	False	0.7673787758347209	-16096.833333332092	-15200.833333332092	True	gasperini2019	K562	MAP3K8	MAP3K8		gasperini2019_MAP3K8_30418729-30419102	not_fulco	30417915	30419915	15265
chr10	30434012	30436012	30502237	30502644	30238404	30631620	30377668	30492356	30434116	30434244	441	False	0.0508212896699548	67428.16666666791	68324.16666666791	True	gasperini2019	K562	MAP3K8	MAP3K8		gasperini2019_MAP3K8_30502237-30502644	not_fulco	30501440	30503440	68260
chr10	30434012	30436012	30503860	30504248	30238404	30631620	30377668	30492356	30434116	30434244	441	False	0.0717136260542037	69042.16666666791	69938.16666666791	True	gasperini2019	K562	MAP3K8	MAP3K8		gasperini2019_MAP3K8_30503860-30504248	not_fulco	30503054	30505054	69874
chr10	30434012	30436012	30552215	30552576	30238404	30631620	30377668	30492356	30434116	30434244	441	False	0.2828322273399766	117383.16666666792	118279.16666666792	True	gasperini2019	K562	MAP3K8	MAP3K8		gasperini2019_MAP3K8_30552215-30552576	not_fulco	30551395	30553395	118215
chr10	31912076	31914076	31947717	31947892	31716468	32109684	31855732	31970420	31928820	31928948	571	False	0.5882914766292756	34727.83333333209	18983.83333333209	True	gasperini2019	K562	ARHGAP12	ARHGAP12		gasperini2019_ARHGAP12_31947717-31947892	not_fulco	31946804	31948804	18920
chr10	31912076	31914076	31972379	31972961	31716468	32109684	31855732	31970420	31928820	31928948	571	False	0.1861519377568002	59593.83333333209	43849.83333333209	True	gasperini2019	K562	ARHGAP12	ARHGAP12		gasperini2019_ARHGAP12_31972379-31972961	not_fulco	31971670	31973670	43786
chr10	32055426	32057426	31947717	31947892	31859818	32253034	31999082	32113770	32056426	32056554	448	False	0.1028155193584172	-108622.0	-108622.0	True	gasperini2019	K562	KIF5B	KIF5B		gasperini2019_KIF5B_31947717-31947892	not_fulco	31946804	31948804	108686
chr10	38009663	38011663	38003590	38003903	37814055	38207271	37953319	38068007	38010663	38010791	448	False	2.558685326262815	-6917.333333335817	-6917.333333335817	True	gasperini2019	K562	ZNF33A	ZNF33A		gasperini2019_ZNF33A_38003590-38003903	not_fulco	38002746	38004746	6981
chr10	42626414	42628414	42645066	42645569	42430806	42824022	42570070	42684758	42638550	42638678	535	False	4.547609651633498	17902.60000000149	6766.60000000149	True	gasperini2019	K562	ZNF33B	ZNF33B		gasperini2019_ZNF33B_42645066-42645569	not_fulco	42644317	42646317	6703
chr10	42626414	42628414	42646866	42647546	42430806	42824022	42570070	42684758	42638550	42638678	535	False	1.967880169340897	19791.60000000149	8655.60000000149	True	gasperini2019	K562	ZNF33B	ZNF33B		gasperini2019_ZNF33B_42646866-42647546	not_fulco	42646206	42648206	8592
chr10	42626414	42628414	42654420	42654829	42430806	42824022	42570070	42684758	42638550	42638678	535	False	1.2765818251666148	27209.60000000149	16073.60000000149	True	gasperini2019	K562	ZNF33B	ZNF33B		gasperini2019_ZNF33B_42654420-42654829	not_fulco	42653624	42655624	16010
chr10	42781794	42783794	42654420	42654829	42586186	42979402	42725450	42840138	42782794	42782922	448	False	0.1600941376687212	-128170.0	-128170.0	True	gasperini2019	K562	BMS1	BMS1		gasperini2019_BMS1_42654420-42654829	not_fulco	42653624	42655624	128234
chr10	43137444	43139444	43038875	43039172	42941836	43335052	43081100	43195788	43138444	43138572	448	False	0.0046669453194543	-99421.0	-99421.0	True	gasperini2019	K562	CSGALNACT2	CSGALNACT2		gasperini2019_CSGALNACT2_43038875-43039172	not_fulco	43038023	43040023	99485
chr10	43137444	43139444	43042489	43042783	42941836	43335052	43081100	43195788	43138444	43138572	448	False	0.0081221179796523	-95808.0	-95808.0	True	gasperini2019	K562	CSGALNACT2	CSGALNACT2		gasperini2019_CSGALNACT2_43042489-43042783	not_fulco	43041636	43043636	95872
chr10	43370639	43372639	43380755	43381029	43175031	43568247	43314295	43428983	43371639	43371767	448	False	0.1559373374682535	9253.0	9253.0	True	gasperini2019	K562	FXYD4	FXYD4		gasperini2019_FXYD4_43380755-43381029	not_fulco	43379892	43381892	9189
chr10	5006464	5008464	4943019	4943152	4810856	5204072	4950120	5064808	5003752	5003880	419	False	0.109281886350384	-64379.0	-60667.0	True	gasperini2019	K562	AKR1C2	AKR1C2		gasperini2019_AKR1C2_4943019-4943152	not_fulco	4942085	4944085	60731
chr10	5006464	5008464	5020233	5020590	4810856	5204072	4950120	5064808	5003752	5003880	419	False	0.1984405306909928	12947.0	16659.0	True	gasperini2019	K562	AKR1C2	AKR1C2		gasperini2019_AKR1C2_5020233-5020590	not_fulco	5019411	5021411	16595
chr10	5066412	5068412	4941458	4942029	4870804	5264020	5010068	5124756	5094292	5094420	658	False	0.1156835415447798	-125669.25	-152549.25	True	gasperini2019	K562	AKR1C3	AKR1C3		gasperini2019_AKR1C3_4941458-4942029	not_fulco	4940743	4942743	152613
chr10	5066412	5068412	4943019	4943152	4870804	5264020	5010068	5124756	5094292	5094420	658	False	0.0438458089755534	-124327.25	-151207.25	True	gasperini2019	K562	AKR1C3	AKR1C3		gasperini2019_AKR1C3_4943019-4943152	not_fulco	4942085	4944085	151271
chr10	5066412	5068412	5020233	5020590	4870804	5264020	5010068	5124756	5094292	5094420	658	False	0.0447450577891041	-47001.25	-73881.25	True	gasperini2019	K562	AKR1C3	AKR1C3		gasperini2019_AKR1C3_5020233-5020590	not_fulco	5019411	5021411	73945
chr10	59905557	59907557	59908421	59908797	59709949	60103165	59849213	59963901	59906557	59906685	448	False	7.1554695114522415	2052.0	2052.0	True	gasperini2019	K562	CCDC6	CCDC6		gasperini2019_CCDC6_59908421-59908797	not_fulco	59907609	59909609	1988
chr10	60777733	60779733	60827899	60828484	60582125	60975341	60721389	60836077	60778477	60778605	446	False	0.1574903738123615	49457.83333333582	49713.83333333582	True	gasperini2019	K562	CDK1	CDK1		gasperini2019_CDK1_60827899-60828484	not_fulco	60827191	60829191	49650
chr10	63132286	63134286	63115838	63116129	62936678	63329894	63075942	63190630	63133286	63133414	448	False	0.3198825607897246	-17303.5	-17303.5	True	gasperini2019	K562	NRBF2	NRBF2		gasperini2019_NRBF2_63115838-63116129	not_fulco	63114983	63116983	17367
chr10	5403829	5405829	5479440	5480268	5208221	5601437	5347485	5462173	5404829	5404957	448	False	0.6965152240919693	75025.0	75025.0	True	gasperini2019	K562	TUBAL3	TUBAL3		gasperini2019_TUBAL3_5479440-5480268	not_fulco	5478854	5480854	74961
chr10	5403829	5405829	5480491	5480930	5208221	5601437	5347485	5462173	5404829	5404957	448	False	0.3969002965992804	75881.0	75881.0	True	gasperini2019	K562	TUBAL3	TUBAL3		gasperini2019_TUBAL3_5480491-5480930	not_fulco	5479710	5481710	75817
chr10	70601730	70603730	70575633	70576420	70406122	70799338	70545386	70660074	70602730	70602858	448	False	0.170640948862998	-26704.0	-26704.0	True	gasperini2019	K562	PRF1	PRF1		gasperini2019_PRF1_70575633-70576420	not_fulco	70575026	70577026	26768
chr10	70601730	70603730	70619224	70619703	70406122	70799338	70545386	70660074	70602730	70602858	448	False	0.1950261640312182	16733.0	16733.0	True	gasperini2019	K562	PRF1	PRF1		gasperini2019_PRF1_70619224-70619703	not_fulco	70618463	70620463	16669
chr10	70601730	70603730	70649463	70649957	70406122	70799338	70545386	70660074	70602730	70602858	448	False	0.1521260501476692	46980.0	46980.0	True	gasperini2019	K562	PRF1	PRF1		gasperini2019_PRF1_70649463-70649957	not_fulco	70648710	70650710	46916
chr10	70601730	70603730	70660831	70660990	70406122	70799338	70545386	70660074	70602730	70602858	448	False	0.1911403054099346	58180.0	58180.0	True	gasperini2019	K562	PRF1	PRF1		gasperini2019_PRF1_70660831-70660990	not_fulco	70659910	70661910	58116
chr10	70601730	70603730	70661785	70661956	70406122	70799338	70545386	70660074	70602730	70602858	448	False	0.465733752800558	59140.0	59140.0	True	gasperini2019	K562	PRF1	PRF1		gasperini2019_PRF1_70661785-70661956	not_fulco	70660870	70662870	59076
chr10	70601730	70603730	70667107	70667762	70406122	70799338	70545386	70660074	70602730	70602858	448	False	0.2710899103996662	64704.0	64704.0	True	gasperini2019	K562	PRF1	PRF1		gasperini2019_PRF1_70667107-70667762	not_fulco	70666434	70668434	64640
